Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",44.92,stage4,0,20,-32.6,47.4,51.62,53.43,73.00,44.00,-38.5,,"Weak / declining (0/10)",""
2222.SR,"أرامكو السعودية",27.42,stage2,8,60,4.0,27.18,25.71,25.32,27.96,23.04,-1.9,NEAR HIGH,"Strong Stage 2 (8/10) | Missing: 25%+ above 52W low, RS Rating ≥ 70 (60)",""
2380.SR,"بترو رابغ",14.16,stage2,10,90,100.3,10.86,8.61,8.25,15.06,6.26,-6.0,,"Textbook Stage 2 (10/10)",""
2381.SR,"الحفر العربية",88.05,stage3,5,50,6.5,85.79,90.84,86.87,107.00,72.00,-17.7,,"Basing (5/10)",""
2382.SR,"أديس",19.26,stage2,10,70,32.6,17.94,17.42,16.88,19.94,12.16,-3.4,,"Textbook Stage 2 (10/10)",""
4030.SR,"البحري",34.40,stage2,10,80,35.1,32.97,31.18,29.48,39.48,21.08,-12.9,,"Textbook Stage 2 (10/10)",""
4200.SR,"الدريس",117.40,stage1,3,30,-9.6,123.7,128.05,126.79,154.10,109.60,-23.8,,"Weak / declining (3/10)",""
1201.SR,"تكوين",5.19,stage4,0,1,-37.0,5.34,6.01,6.4,8.67,4.95,-40.1,,"Weak / declining (0/10)",""
1202.SR,"مبكو",18.78,stage1,1,10,-37.5,17.33,20.82,22.48,31.52,15.70,-40.4,,"Weak / declining (1/10)",""
1210.SR,"بي سي آي",25.40,stage1,2,40,-11.0,25.07,25.84,26.22,29.20,22.80,-13.0,,"Weak / declining (2/10)",""
1211.SR,"معادن",66.50,stage2,8,58,28.6,68.15,66.22,63.93,79.90,46.80,-16.8,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, RS Rating ≥ 70 (58)",""
1301.SR,"أسلاك",17.13,stage4,0,11,-28.9,17.22,19.57,20.58,26.10,15.10,-34.4,,"Weak / declining (0/10)",""
1304.SR,"اليمامة للحديد",40.80,stage2,9,68,30.2,37.47,36.44,35.96,43.50,26.50,-6.2,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (68)",""
1320.SR,"أنابيب السعودية",55.60,potential,8,84,-1.1,47.57,44.1,45.77,61.90,35.80,-10.2,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
1321.SR,"أنابيب الشرق",185.00,stage2,10,89,50.9,166.33,147.96,139.57,201.30,100.20,-8.1,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",79.30,stage1,4,63,37.4,87.09,87.41,82.43,117.50,53.50,-32.5,,"Basing (4/10)",""
1323.SR,"يو سي آي سي",25.40,stage1,1,21,0.0,24.64,26.15,26.98,54.50,23.00,-53.4,,"Weak / declining (1/10)",""
2001.SR,"كيمانول",8.87,stage1,3,37,-26.4,8.32,8.38,9,13.96,5.88,-36.5,,"Weak / declining (3/10)",""
2010.SR,"سابك",59.00,potential,6,47,-1.2,59.03,56.7,57.53,64.00,48.20,-7.8,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (47)",""
2020.SR,"سابك للمغذيات الزراعية",145.80,stage2,10,90,45.7,143.39,127.19,124.82,159.30,94.70,-8.5,,"Textbook Stage 2 (10/10)",""
2060.SR,"التصنيع",9.80,stage1,4,55,1.9,9.54,9.67,9.94,11.94,8.05,-17.9,,"Basing (4/10)",""
2090.SR,"جبسكو",14.66,stage4,0,21,-29.2,14.68,15.91,16.87,24.00,13.00,-38.9,,"Weak / declining (0/10)",""
2150.SR,"زجاج",37.40,stage1,2,34,-14.4,37.37,37.54,38.35,46.45,34.00,-19.5,,"Weak / declining (2/10)",""
2170.SR,"اللجين",27.80,stage4,2,31,-30.3,28.05,27.9,29.86,40.05,20.41,-30.6,,"Weak / declining (2/10)",""
2180.SR,"فيبكو",29.00,stage1,2,17,-23.5,28.57,30.31,31.38,38.20,24.10,-24.1,,"Weak / declining (2/10)",""
2200.SR,"أنابيب",6.99,stage2,9,79,5.3,6.06,5.43,5.5,7.54,4.26,-7.3,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
2210.SR,"نماء للكيماويات",18.74,stage4,0,3,-31.7,20.13,22.69,23.61,29.48,18.56,-36.4,,"Weak / declining (0/10)",""
2220.SR,"معدنية",12.09,stage4,0,24,-18.3,12.26,13.58,14.38,18.50,10.70,-34.6,,"Weak / declining (0/10)",""
2223.SR,"لوبريف",118.40,stage2,10,72,17.4,107.83,99.73,96.6,127.00,81.30,-6.8,,"Textbook Stage 2 (10/10)",""
2240.SR,"صناعات",36.00,stage1,3,36,-10.7,36.88,37.19,36.58,48.85,28.68,-26.3,,"Weak / declining (3/10)",""
2250.SR,"المجموعة السعودية",14.44,stage1,3,56,-12.2,13.64,13.69,14.89,20.00,11.41,-27.8,,"Weak / declining (3/10)",""
2290.SR,"ينساب",33.96,potential,8,85,10.9,34.47,30.93,31.51,38.44,24.00,-11.7,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, Price > 50MA",""
2300.SR,"صناعة الورق",60.30,stage2,8,51,-9.6,56.85,56.66,56.14,72.20,47.00,-16.5,,"Strong Stage 2 (8/10) | Missing: 200MA trending up, RS Rating ≥ 70 (51)",""
2310.SR,"سبكيم العالمية",15.73,stage4,0,44,-18.1,15.85,16.01,16.81,21.23,13.13,-25.9,,"Weak / declining (0/10)",""
2330.SR,"المتقدمة",26.96,stage1,2,59,-10.6,25.61,28.52,29.87,38.64,21.55,-30.2,,"Weak / declining (2/10)",""
2350.SR,"كيان السعودية",5.81,stage2,9,79,5.5,5.35,5.22,5.22,6.41,4.46,-9.4,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
