Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
AXGN,"AxoGen, Inc.",43.45,stage2,10,87,341.9,40.22,34.73,30.77,45.83,9.22,-5.2,,"Textbook Stage 2 (10/10)",""
INDV,"Indivior Pharmaceuticals, Inc.",38.44,stage2,10,81,174.7,36,34.27,32.14,41.00,13.45,-6.2,,"Textbook Stage 2 (10/10)",""
TSM,"Taiwan Semiconductor Manufactur",435.79,stage2,10,70,102.3,401.93,351.6,334.51,450.16,206.20,-3.2,,"Textbook Stage 2 (10/10)",""
CSTM,"Constellium SE",35.53,stage2,10,83,175.5,32.54,25.36,22.89,36.99,12.68,-3.9,,"Textbook Stage 2 (10/10)",""
SMTC,"Semtech Corporation",173.30,stage2,10,89,298.1,129.7,95.78,88.39,177.00,39.97,-2.1,,"Textbook Stage 2 (10/10)",""
ADEA,"Adeia Inc.",32.50,stage2,10,85,132.3,29.3,21.91,20.42,34.34,11.61,-5.4,,"Textbook Stage 2 (10/10)",""
CAT,"Caterpillar, Inc.",940.78,stage2,10,77,152.6,866.21,725.56,671.6,946.83,356.96,-0.6,NEAR HIGH,"Textbook Stage 2 (10/10)",""
FLEX,"Flex Ltd.",148.78,stage2,10,93,225.2,120.66,82.4,76.72,166.86,43.15,-10.8,,"Textbook Stage 2 (10/10)",""
SIF,"SIFCO Industries, Inc.",21.63,stage2,10,91,489.0,18.12,12.03,10.77,22.50,2.95,-3.9,,"Textbook Stage 2 (10/10)",""
ASTH,"Astrana Health Inc.",38.23,stage2,9,74,60.9,35.74,27.7,27.99,40.13,18.08,-4.7,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
NESR,"National Energy Services Reunit",27.41,stage2,10,86,328.1,24.55,20.68,18.35,27.69,5.66,-1.0,NEAR HIGH,"Textbook Stage 2 (10/10)",""
DELL,"Dell Technologies Inc.",406.30,stage2,10,94,231.4,280.91,183.31,173.22,469.47,110.22,-13.5,,"Textbook Stage 2 (10/10)",""
DDOG,"Datadog, Inc.",232.01,stage2,9,84,80.3,184.38,148.33,150.58,278.70,98.01,-16.8,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
