Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",45.06,stage4,0,8,-21.4,45.69,49.55,52.08,65.80,44.26,-31.5,,"Weak / declining (0/10)",""
2222.SR,"أرامكو السعودية",27.26,potential,7,57,7.3,27.44,26,25.68,27.96,23.16,-2.5,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (57)",""
2380.SR,"بترو رابغ",15.79,stage2,10,92,131.9,13.6,9.52,9.09,16.40,6.60,-3.7,,"Textbook Stage 2 (10/10)",""
2381.SR,"الحفر العربية",87.10,stage1,3,40,14.3,87.42,91.36,88.07,107.00,72.45,-18.6,,"Weak / declining (3/10)",""
2382.SR,"أديس",19.21,stage2,10,76,50.3,18.98,17.85,17.33,19.94,12.20,-3.7,,"Textbook Stage 2 (10/10)",""
4030.SR,"البحري",34.00,stage2,10,79,41.7,33.85,31.57,30.66,39.48,21.80,-13.9,,"Textbook Stage 2 (10/10)",""
4200.SR,"الدريس",114.10,stage4,0,17,-3.3,120.1,123.57,126.06,154.10,112.30,-26.0,,"Weak / declining (0/10)",""
1201.SR,"تكوين",5.12,stage4,0,1,-29.9,5.22,5.72,6.13,8.67,4.95,-40.9,,"Weak / declining (0/10)",""
1202.SR,"مبكو",19.15,stage1,1,14,-26.4,18.29,19.82,21.62,31.52,16.36,-39.2,,"Weak / declining (1/10)",""
1210.SR,"بي سي آي",25.16,stage4,1,30,0.0,25.22,25.41,25.98,29.16,23.40,-13.7,,"Weak / declining (1/10)",""
1211.SR,"معادن",63.05,stage1,5,59,28.5,65.87,66.2,64.94,79.90,47.25,-21.1,,"Basing (5/10)",""
1301.SR,"أسلاك",16.31,stage4,0,11,-23.0,17.05,18.45,19.86,26.10,15.65,-37.5,,"Weak / declining (0/10)",""
1304.SR,"اليمامة للحديد",39.02,stage2,9,69,37.9,38.91,36.67,36.47,43.50,28.20,-10.3,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (69)",""
1320.SR,"أنابيب السعودية",54.05,stage2,9,79,8.8,53.39,44.38,46.06,60.00,36.30,-9.9,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
1321.SR,"أنابيب الشرق",206.70,stage2,10,91,95.7,187.47,155.75,148.23,209.30,105.00,-1.2,NEAR HIGH,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",77.35,stage1,3,61,34.8,80.93,87.51,83.64,117.50,57.40,-34.2,,"Weak / declining (3/10)",""
1323.SR,"يو سي آي سي",25.12,stage1,1,9,-28.4,24.95,25.45,26.42,41.05,23.40,-38.8,,"Weak / declining (1/10)",""
1324.SR,"صالح الراشد",45.00,stage1,0,0,0.0,54.8,,,72.15,45.00,-37.6,,"Weak / declining (0/10)",""
2001.SR,"كيمانول",8.87,potential,7,74,-23.3,8.86,8.21,8.74,13.96,5.97,-36.5,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, Within 25% of 52W high",""
2010.SR,"سابك",56.25,stage1,4,29,3.6,58.72,56.34,57.29,64.00,50.55,-12.1,,"Basing (4/10)",""
2020.SR,"سابك للمغذيات الزراعية",131.80,stage2,8,69,33.5,143.11,129.24,126.69,159.30,98.70,-17.3,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, RS Rating ≥ 70 (69)",""
2060.SR,"التصنيع",9.91,potential,6,63,9.6,9.98,9.49,9.89,11.94,8.25,-17.0,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (63)",""
2090.SR,"جبسكو",14.31,stage4,0,15,-19.0,14.49,15.23,16.29,24.00,13.52,-40.4,,"Weak / declining (0/10)",""
2150.SR,"زجاج",36.50,stage4,2,19,-9.2,37.4,37.02,37.95,45.92,34.60,-20.5,,"Weak / declining (2/10)",""
2170.SR,"اللجين",29.08,stage1,5,21,-19.8,28.75,27.51,29.08,38.30,21.24,-24.1,,"Basing (5/10)",""
2180.SR,"فيبكو",28.86,stage1,2,29,-9.4,28.71,29.36,30.77,37.20,25.44,-22.4,,"Weak / declining (2/10)",""
2200.SR,"أنابيب",7.43,stage2,9,89,24.9,6.86,5.61,5.63,7.81,4.50,-4.9,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
2210.SR,"نماء للكيماويات",18.74,stage4,0,5,-32.6,19.43,21.66,22.84,29.48,18.74,-36.4,,"Weak / declining (0/10)",""
2220.SR,"معدنية",12.14,stage4,0,27,-4.7,12.28,12.94,13.92,18.50,11.17,-34.4,,"Weak / declining (0/10)",""
2223.SR,"لوبريف",127.00,stage2,10,87,30.9,119.78,104.36,100.56,130.80,81.45,-2.9,,"Textbook Stage 2 (10/10)",""
2240.SR,"صناعات",35.50,stage4,1,26,-3.8,35.92,37.01,36.17,47.96,30.50,-26.0,,"Weak / declining (1/10)",""
2250.SR,"المجموعة السعودية",14.16,stage1,3,29,-16.2,14.16,13.37,14.44,20.00,11.79,-29.2,,"Weak / declining (3/10)",""
2290.SR,"ينساب",32.52,potential,7,64,12.5,34.81,30.95,31.57,38.44,24.69,-15.4,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, Price > 50MA, RS Rating ≥ 70 (64)",""
2300.SR,"صناعة الورق",58.20,potential,7,48,-0.3,58.72,57.13,56.45,66.80,49.02,-12.9,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (48)",""
2310.SR,"سبكيم العالمية",14.58,stage4,1,16,-19.9,15.6,15.48,16.37,21.23,13.50,-31.3,,"Weak / declining (1/10)",""
2330.SR,"المتقدمة",26.10,stage4,0,43,-9.4,26.82,27.15,29.11,38.64,22.13,-32.5,,"Weak / declining (0/10)",""
2350.SR,"كيان السعودية",5.84,stage2,9,72,24.8,5.64,5.22,5.3,6.41,4.49,-8.9,,"Textbook Stage 2 (9/10) | Missing: 150MA > 200MA",""
2360.SR,"الفخارية",17.19,stage4,0,1,-33.6,17.82,19.77,21.58,32.42,16.74,-47.0,,"Weak / declining (0/10)",""
3002.SR,"أسمنت نجران",5.83,stage4,0,9,-27.9,5.98,6.36,6.7,8.46,5.83,-31.1,,"Weak / declining (0/10)",""
3003.SR,"أسمنت المدينة",12.07,stage4,0,14,-27.3,12.23,12.58,13.23,17.96,11.29,-32.8,,"Weak / declining (0/10)",""
3004.SR,"أسمنت الشمالية",6.93,stage4,1,28,-9.8,6.99,7.07,7.27,8.65,6.83,-19.9,,"Weak / declining (1/10)",""
3005.SR,"أسمنت ام القرى",13.84,stage1,5,51,-13.5,13.05,12.75,13.16,17.26,11.84,-19.8,,"Basing (5/10)",""
3007.SR,"الواحة",2.56,potential,6,56,5.9,2.52,2.44,2.46,2.98,2.13,-14.1,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 25%+ above 52W low, RS Rating ≥ 70 (56)",""
3008.SR,"الكثيري",1.73,stage4,1,18,-10.4,1.85,1.94,1.99,2.29,1.73,-24.5,,"Weak / declining (1/10)",""
3010.SR,"أسمنت العربية",22.78,potential,7,45,0.0,23.12,22.3,22.19,24.39,20.60,-6.6,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (45)",""
3020.SR,"أسمنت اليمامة",24.74,stage4,1,22,-24.8,25,24.95,26.17,36.80,22.70,-32.8,,"Weak / declining (1/10)",""
3030.SR,"أسمنت السعودية",31.60,stage4,1,21,-19.0,33.42,34.4,35.53,41.58,31.60,-24.0,,"Weak / declining (1/10)",""
3040.SR,"أسمنت القصيم",45.84,potential,7,46,-8.2,44.17,43.01,42.8,51.70,41.00,-11.3,,"Near Stage 2 (7/10) | Missing: 200MA trending up, 25%+ above 52W low, RS Rating ≥ 70 (46)",""
3050.SR,"أسمنت الجنوب",20.03,stage4,0,5,-28.3,20.91,21.92,22.93,30.00,20.00,-33.2,,"Weak / declining (0/10)",""
3060.SR,"أسمنت ينبع",16.39,stage1,5,39,-17.2,15.41,15.11,15.46,20.88,14.19,-21.5,,"Basing (5/10)",""
3080.SR,"أسمنت الشرقية",24.91,stage1,5,30,-17.9,24.21,23.98,24.56,32.06,22.65,-22.3,,"Basing (5/10)",""
3090.SR,"أسمنت تبوك",7.97,stage4,0,15,-24.8,8.03,8.62,9,11.40,7.90,-30.1,,"Weak / declining (0/10)",""
3091.SR,"أسمنت الجوف",4.98,stage4,0,2,-37.7,5.01,5.72,6,8.71,4.86,-42.8,,"Weak / declining (0/10)",""
3092.SR,"أسمنت الرياض",22.14,stage4,0,12,-29.4,23.23,23.74,24.69,33.00,22.14,-32.9,,"Weak / declining (0/10)",""
1212.SR,"أسترا الصناعية",134.70,stage4,1,27,-7.7,139.4,140.53,140.74,161.70,128.10,-16.7,,"Weak / declining (1/10)",""
1214.SR,"شاكر",14.79,stage4,0,5,-32.5,15.55,17,18.27,24.82,14.62,-40.4,,"Weak / declining (0/10)",""
1302.SR,"بوان",44.70,stage1,1,42,-3.5,43.73,46.43,48.79,61.85,41.56,-27.7,,"Weak / declining (1/10)",""
